GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US77447,77447,ZCTA5 77447,4651,286,3737,293,3034,282,914,222,74836,5192,78113,6146,80457,9811,56346,20659
8600000US77448,77448,ZCTA5 77448,17,27,17,27,17,27,0,13,-,**,-,**,-,**,-,**
8600000US77449,77449,ZCTA5 77449,32207,580,26735,789,19179,969,5472,616,71096,3747,75395,4097,86722,6055,46694,6407
8600000US77450,77450,ZCTA5 77450,24746,381,19649,535,16033,566,5097,446,100504,5046,115223,4839,129010,4645,47188,5167
8600000US77451,77451,ZCTA5 77451,20,14,6,6,0,13,14,14,14167,12276,14375,7846,-,**,-,**
8600000US77453,77453,ZCTA5 77453,124,73,97,72,38,34,27,34,25357,24262,-,**,-,**,-,**
8600000US77454,77454,ZCTA5 77454,40,36,25,40,0,13,15,24,-,**,-,**,-,**,-,**
8600000US77455,77455,ZCTA5 77455,831,116,539,110,472,106,292,92,51203,4836,61758,10658,63125,13067,28661,17147
8600000US77456,77456,ZCTA5 77456,504,151,321,111,260,103,183,132,31500,21141,49821,44301,69886,46193,18475,4754
8600000US77457,77457,ZCTA5 77457,238,90,126,62,96,54,112,58,34583,11411,53409,27712,62969,26192,16500,8666
8600000US77458,77458,ZCTA5 77458,111,81,65,74,65,74,46,49,-,**,-,**,-,**,19013,761
8600000US77459,77459,ZCTA5 77459,20804,616,17118,555,14607,565,3686,404,113046,4503,121815,4214,132607,6449,57422,5713
8600000US77460,77460,ZCTA5 77460,27,30,27,30,27,30,0,13,-,**,-,**,-,**,-,**
8600000US77461,77461,ZCTA5 77461,3778,231,3082,237,2327,265,696,173,62629,8262,71079,6794,84663,18382,22606,8484
