Median Income (dollars),Month,Number of Households,Year,Zip Code
79289.0,5,18336,2014,75007
79360.0,6,18354,2014,75007
79431.0,7,18371,2014,75007
79502.0,8,18389,2014,75007
79573.0,9,18406,2014,75007
79644.0,10,18424,2014,75007
79715.0,11,18441,2014,75007
79786.0,12,18459,2014,75007
79533.25,1,18484,2015,75007
79280.5,2,18509,2015,75007
79027.75,3,18534,2015,75007
78775.0,4,18559,2015,75007
78522.25,5,18584,2015,75007
78269.5,6,18609,2015,75007
78016.75,7,18634,2015,75007
77764.0,8,18659,2015,75007
77511.25,9,18684,2015,75007
77258.5,10,18709,2015,75007
77005.75,11,18734,2015,75007
76753.0,12,18759,2015,75007
76897.58333333333,1,18801,2016,75007
77042.16666666667,2,18844,2016,75007
77186.75,3,18887,2016,75007
77331.33333333333,4,18930,2016,75007
77475.91666666667,5,18973,2016,75007
77620.5,6,19016,2016,75007
77765.08333333333,7,19058,2016,75007
77909.66666666667,8,19101,2016,75007
78054.25,9,19144,2016,75007
78198.83333333333,10,19187,2016,75007
78343.41666666667,11,19230,2016,75007
78488.0,12,19273,2016,75007
76840.0,1,2744,2011,75009
76840.0,2,2744,2011,75009
76840.0,3,2744,2011,75009
76840.0,4,2744,2011,75009
76840.0,5,2744,2011,75009
76840.0,6,2744,2011,75009
76840.0,7,2744,2011,75009
76840.0,8,2744,2011,75009
76840.0,9,2744,2011,75009
76840.0,10,2744,2011,75009
76840.0,11,2744,2011,75009
76840.0,12,2744,2011,75009
77826.83333333333,1,2744,2012,75009
78813.66666666667,2,2745,2012,75009
79800.5,3,2746,2012,75009
80787.33333333333,4,2746,2012,75009
81774.16666666667,5,2747,2012,75009
82761.0,6,2748,2012,75009
83747.83333333333,7,2748,2012,75009
84734.66666666667,8,2749,2012,75009
85721.5,9,2750,2012,75009
86708.33333333333,10,2750,2012,75009
87695.16666666667,11,2751,2012,75009
88682.0,12,2752,2012,75009
88590.25,1,2766,2013,75009
88498.5,2,2780,2013,75009
88406.75,3,2795,2013,75009
88315.0,4,2809,2013,75009
88223.25,5,2823,2013,75009
88131.5,6,2838,2013,75009
88039.75,7,2852,2013,75009
87948.0,8,2866,2013,75009
87856.25,9,2881,2013,75009
87764.5,10,2895,2013,75009
87672.75,11,2909,2013,75009
87581.0,12,2924,2013,75009
87337.66666666667,1,2928,2014,75009
87094.33333333333,2,2933,2014,75009
86851.0,3,2938,2014,75009
86607.66666666667,4,2943,2014,75009
86364.33333333333,5,2947,2014,75009
86121.0,6,2952,2014,75009
85877.66666666667,7,2957,2014,75009
85634.33333333333,8,2962,2014,75009
85391.0,9,2966,2014,75009
85147.66666666667,10,2971,2014,75009
84904.33333333333,11,2976,2014,75009
84661.0,12,2981,2014,75009
84963.25,1,2983,2015,75009
85265.5,2,2985,2015,75009
85567.75,3,2988,2015,75009
85870.0,4,2990,2015,75009
86172.25,5,2992,2015,75009
86474.5,6,2995,2015,75009
86776.75,7,2997,2015,75009
87079.0,8,2999,2015,75009
87381.25,9,3002,2015,75009
87683.5,10,3004,2015,75009
87985.75,11,3006,2015,75009
88288.0,12,3009,2015,75009
88652.41666666667,1,3046,2016,75009
89016.83333333333,2,3084,2016,75009
89381.25,3,3122,2016,75009
89745.66666666667,4,3160,2016,75009
90110.08333333333,5,3197,2016,75009
90474.5,6,3235,2016,75009
90838.91666666667,7,3273,2016,75009
91203.33333333333,8,3311,2016,75009
91567.75,9,3348,2016,75009
91932.16666666667,10,3386,2016,75009
92296.58333333333,11,3424,2016,75009
92661.0,12,3462,2016,75009
74415.0,1,8157,2011,75010
74415.0,2,8157,2011,75010
74415.0,3,8157,2011,75010
74415.0,4,8157,2011,75010
74415.0,5,8157,2011,75010
74415.0,6,8157,2011,75010
74415.0,7,8157,2011,75010
74415.0,8,8157,2011,75010
74415.0,9,8157,2011,75010
74415.0,10,8157,2011,75010
74415.0,11,8157,2011,75010
74415.0,12,8157,2011,75010
74428.58333333333,1,8169,2012,75010
74442.16666666667,2,8182,2012,75010
74455.75,3,8195,2012,75010
74469.33333333333,4,8208,2012,75010
74482.91666666667,5,8220,2012,75010
74496.5,6,8233,2012,75010
74510.08333333333,7,8246,2012,75010
74523.66666666667,8,8259,2012,75010
74537.25,9,8271,2012,75010
74550.83333333333,10,8284,2012,75010
74564.41666666667,11,8297,2012,75010
74578.0,12,8310,2012,75010
74671.16666666667,1,8340,2013,75010
74764.33333333333,2,8371,2013,75010
74857.5,3,8402,2013,75010
74950.66666666667,4,8433,2013,75010
75043.83333333333,5,8464,2013,75010
75137.0,6,8495,2013,75010
75230.16666666667,7,8526,2013,75010
75323.33333333333,8,8557,2013,75010
75416.5,9,8588,2013,75010
75509.66666666667,10,8619,2013,75010
75602.83333333333,11,8650,2013,75010
75696.0,12,8681,2013,75010
75720.5,1,8711,2014,75010
75745.0,2,8742,2014,75010
75769.5,3,8773,2014,75010
75794.0,4,8804,2014,75010
75818.5,5,8834,2014,75010
75843.0,6,8865,2014,75010
75867.5,7,8896,2014,75010
75892.0,8,8927,2014,75010
75916.5,9,8957,2014,75010
75941.0,10,8988,2014,75010
75965.5,11,9019,2014,75010
75990.0,12,9050,2014,75010
76146.25,1,9073,2015,75010
76302.5,2,9096,2015,75010
76458.75,3,9119,2015,75010
76615.0,4,9142,2015,75010
76771.25,5,9165,2015,75010
76927.5,6,9189,2015,75010
77083.75,7,9212,2015,75010
77240.0,8,9235,2015,75010
77396.25,9,9258,2015,75010
77552.5,10,9281,2015,75010
77708.75,11,9304,2015,75010
77865.0,12,9328,2015,75010
77894.33333333333,1,9389,2016,75010
77923.66666666667,2,9450,2016,75010
77953.0,3,9512,2016,75010
77982.33333333333,4,9573,2016,75010
78011.66666666667,5,9634,2016,75010
78041.0,6,9696,2016,75010
78070.33333333333,7,9757,2016,75010
78099.66666666667,8,9818,2016,75010
78129.0,9,9880,2016,75010
78158.33333333333,10,9941,2016,75010
78187.66666666667,11,10002,2016,75010
78217.0,12,10064,2016,75010
123426.0,1,9317,2011,75013
123426.0,2,9317,2011,75013
123426.0,3,9317,2011,75013
123426.0,4,9317,2011,75013
123426.0,5,9317,2011,75013
123426.0,6,9317,2011,75013
123426.0,7,9317,2011,75013
123426.0,8,9317,2011,75013
123426.0,9,9317,2011,75013
123426.0,10,9317,2011,75013
123426.0,11,9317,2011,75013
123426.0,12,9317,2011,75013
123900.83333333333,1,9373,2012,75013
124375.66666666667,2,9430,2012,75013
124850.5,3,9486,2012,75013
125325.33333333333,4,9543,2012,75013
125800.16666666667,5,9599,2012,75013
126275.0,6,9656,2012,75013
126749.83333333333,7,9712,2012,75013
127224.66666666667,8,9769,2012,75013
127699.5,9,9825,2012,75013
128174.33333333333,10,9882,2012,75013
128649.16666666667,11,9938,2012,75013
129124.0,12,9995,2012,75013
129353.5,1,10021,2013,75013
129583.0,2,10048,2013,75013
129812.5,3,10074,2013,75013
130042.0,4,10101,2013,75013
130271.5,5,10127,2013,75013
130501.0,6,10154,2013,75013
130730.5,7,10181,2013,75013
130960.0,8,10207,2013,75013
131189.5,9,10234,2013,75013
131419.0,10,10260,2013,75013
131648.5,11,10287,2013,75013
131878.0,12,10314,2013,75013
131705.25,1,10381,2014,75013
131532.5,2,10448,2014,75013
131359.75,3,10515,2014,75013
131187.0,4,10582,2014,75013
131014.25,5,10649,2014,75013
130841.5,6,10716,2014,75013
130668.75,7,10783,2014,75013
130496.0,8,10850,2014,75013
130323.25,9,10917,2014,75013
130150.5,10,10984,2014,75013
129977.75,11,11051,2014,75013
129805.0,12,11118,2014,75013
129727.66666666667,1,11150,2015,75013
129650.33333333333,2,11182,2015,75013
129573.0,3,11214,2015,75013
129495.66666666667,4,11246,2015,75013
129418.33333333333,5,11278,2015,75013
129341.0,6,11310,2015,75013
129263.66666666667,7,11342,2015,75013
129186.33333333333,8,11374,2015,75013
129109.0,9,11406,2015,75013
129031.66666666667,10,11438,2015,75013
128954.33333333333,11,11470,2015,75013
128877.0,12,11503,2015,75013
128304.75,1,11557,2016,75013
127732.5,2,11611,2016,75013
127160.25,3,11665,2016,75013
126588.0,4,11719,2016,75013
126015.75,5,11773,2016,75013
125443.5,6,11827,2016,75013
124871.25,7,11881,2016,75013
124299.0,8,11935,2016,75013
123726.75,9,11989,2016,75013
123154.5,10,12043,2016,75013
122582.25,11,12097,2016,75013
122010.0,12,12151,2016,75013
106981.0,1,13641,2011,75019
106981.0,2,13641,2011,75019
106981.0,3,13641,2011,75019
106981.0,4,13641,2011,75019
106981.0,5,13641,2011,75019
106981.0,6,13641,2011,75019
106981.0,7,13641,2011,75019
106981.0,8,13641,2011,75019
106981.0,9,13641,2011,75019
106981.0,10,13641,2011,75019
106981.0,11,13641,2011,75019
106981.0,12,13641,2011,75019
106973.16666666667,1,13676,2012,75019
106965.33333333333,2,13711,2012,75019
106957.5,3,13746,2012,75019
106949.66666666667,4,13782,2012,75019
106941.83333333333,5,13817,2012,75019
106934.0,6,13852,2012,75019
106926.16666666667,7,13887,2012,75019
106918.33333333333,8,13923,2012,75019
106910.5,9,13958,2012,75019
106902.66666666667,10,13993,2012,75019
106894.83333333333,11,14028,2012,75019
106887.0,12,14064,2012,75019
107183.5,1,14063,2013,75019
107480.0,2,14062,2013,75019
107776.5,3,14062,2013,75019
108073.0,4,14061,2013,75019
108369.5,5,14060,2013,75019
108666.0,6,14060,2013,75019
108962.5,7,14059,2013,75019
109259.0,8,14058,2013,75019
109555.5,9,14058,2013,75019
109852.0,10,14057,2013,75019
110148.5,11,14056,2013,75019
110445.0,12,14056,2013,75019
110518.33333333333,1,14077,2014,75019
110591.66666666667,2,14098,2014,75019
110665.0,3,14119,2014,75019
110738.33333333333,4,14140,2014,75019
110811.66666666667,5,14161,2014,75019
110885.0,6,14182,2014,75019
110958.33333333333,7,14203,2014,75019
111031.66666666667,8,14224,2014,75019
111105.0,9,14245,2014,75019
111178.33333333333,10,14266,2014,75019
111251.66666666667,11,14287,2014,75019
111325.0,12,14309,2014,75019
111361.16666666667,1,14335,2015,75019
111397.33333333333,2,14362,2015,75019
111433.5,3,14388,2015,75019
111469.66666666667,4,14415,2015,75019
111505.83333333333,5,14441,2015,75019
111542.0,6,14468,2015,75019
111578.16666666667,7,14495,2015,75019
111614.33333333333,8,14521,2015,75019
111650.5,9,14548,2015,75019
111686.66666666667,10,14574,2015,75019
111722.83333333333,11,14601,2015,75019
111759.0,12,14628,2015,75019
111999.25,1,14649,2016,75019
112239.5,2,14670,2016,75019
112479.75,3,14691,2016,75019
112720.0,4,14713,2016,75019
112960.25,5,14734,2016,75019
113200.5,6,14755,2016,75019
113440.75,7,14776,2016,75019
113681.0,8,14798,2016,75019
113921.25,9,14819,2016,75019
114161.5,10,14840,2016,75019
114401.75,11,14861,2016,75019
114642.0,12,14883,2016,75019
41177.0,1,8945,2011,75020
41177.0,2,8945,2011,75020
41177.0,3,8945,2011,75020
41177.0,4,8945,2011,75020
41177.0,5,8945,2011,75020
41177.0,6,8945,2011,75020
41177.0,7,8945,2011,75020
41177.0,8,8945,2011,75020
41177.0,9,8945,2011,75020
41177.0,10,8945,2011,75020
41177.0,11,8945,2011,75020
41177.0,12,8945,2011,75020
41061.833333333336,1,8942,2012,75020
40946.666666666664,2,8940,2012,75020
40831.5,3,8938,2012,75020
40716.333333333336,4,8935,2012,75020
40601.166666666664,5,8933,2012,75020
40486.0,6,8931,2012,75020
40370.833333333336,7,8928,2012,75020
40255.666666666664,8,8926,2012,75020
40140.5,9,8924,2012,75020
40025.333333333336,10,8921,2012,75020
39910.166666666664,11,8919,2012,75020
39795.0,12,8917,2012,75020
39895.333333333336,1,8910,2013,75020
39995.666666666664,2,8903,2013,75020
40096.0,3,8896,2013,75020
40196.333333333336,4,8889,2013,75020
40296.666666666664,5,8882,2013,75020
40397.0,6,8876,2013,75020
40497.333333333336,7,8869,2013,75020
40597.666666666664,8,8862,2013,75020
40698.0,9,8855,2013,75020
40798.333333333336,10,8848,2013,75020
40898.666666666664,11,8841,2013,75020
40999.0,12,8835,2013,75020
41069.333333333336,1,8834,2014,75020
41139.666666666664,2,8833,2014,75020
41210.0,3,8832,2014,75020
41280.333333333336,4,8831,2014,75020
41350.666666666664,5,8830,2014,75020
41421.0,6,8829,2014,75020
41491.333333333336,7,8828,2014,75020
41561.666666666664,8,8827,2014,75020
41632.0,9,8826,2014,75020
41702.333333333336,10,8825,2014,75020
41772.666666666664,11,8824,2014,75020
41843.0,12,8824,2014,75020
41949.166666666664,1,8830,2015,75020
42055.333333333336,2,8836,2015,75020
42161.5,3,8843,2015,75020
42267.666666666664,4,8849,2015,75020
42373.833333333336,5,8855,2015,75020
42480.0,6,8862,2015,75020
42586.166666666664,7,8868,2015,75020
42692.333333333336,8,8874,2015,75020
42798.5,9,8881,2015,75020
42904.666666666664,10,8887,2015,75020
43010.833333333336,11,8893,2015,75020
43117.0,12,8900,2015,75020
43511.666666666664,1,8890,2016,75020
43906.333333333336,2,8881,2016,75020
44301.0,3,8871,2016,75020
44695.666666666664,4,8862,2016,75020
45090.333333333336,5,8852,2016,75020
45485.0,6,8843,2016,75020
45879.666666666664,7,8833,2016,75020
46274.333333333336,8,8824,2016,75020
46669.0,9,8814,2016,75020
47063.666666666664,10,8805,2016,75020
47458.333333333336,11,8795,2016,75020
47853.0,12,8786,2016,75020
45733.0,1,3198,2011,75021
45733.0,2,3198,2011,75021
45733.0,3,3198,2011,75021
45733.0,4,3198,2011,75021
45733.0,5,3198,2011,75021
45733.0,6,3198,2011,75021
45733.0,7,3198,2011,75021
45733.0,8,3198,2011,75021
45733.0,9,3198,2011,75021
45733.0,10,3198,2011,75021
45733.0,11,3198,2011,75021
45733.0,12,3198,2011,75021
45340.916666666664,1,3200,2012,75021
44948.833333333336,2,3203,2012,75021
44556.75,3,3206,2012,75021
