OriginalZip,CalendarYearIssued,Issuedmonth,Total_NewConstructions,Total_RemodelsRepairs,TotalCost_NewConstructions,TotalCost_RemodelRepairs
78652,2016,1,5,0,2209050,0
78652,2016,2,9,0,1224625,0
78652,2016,3,5,0,741040,0
78652,2016,4,14,0,2502330,0
78652,2016,5,21,0,4260585,0
78652,2016,6,12,0,2906241,0
78652,2016,7,5,0,812701,0
78652,2016,8,9,0,2926050,0
78652,2016,9,8,1,2883625,800
78652,2016,10,12,0,2798000,0
78652,2016,11,12,1,2707575,7000
78652,2016,12,6,0,1364725,0
78652,2017,1,11,0,2395050,0
78652,2017,2,2,0,514650,0
78652,2017,3,2,0,732000,0
78652,2017,4,7,0,3286200,0
78652,2017,5,11,0,2937000,0
78652,2017,6,6,0,1067620,0
78652,2017,7,12,0,2887820,0
78652,2017,8,25,0,4271767,0
78652,2017,9,16,0,3209655,0
78652,2017,10,16,0,5365367,0
78652,2017,11,19,0,4220870,0
78652,2017,12,18,0,3418235,0
78652,2018,1,12,2,3145855,38140
78652,2018,2,20,0,3907490,0
78652,2018,3,7,0,1143960,0
78652,2018,4,13,2,2213535,170000
78652,2018,5,11,0,2208495,0
78653,2000,6,1,0,98035,0
78653,2005,6,0,1,0,800
78653,2006,6,3,0,275970,0
78653,2006,8,4,0,358960,0
78653,2007,8,1,0,98990,0
78653,2016,1,1,0,158990,0
78653,2016,2,3,0,572326,0
78653,2016,3,13,14,2098463,0
78653,2016,4,4,0,587867,0
78653,2016,5,9,0,1301031,0
78653,2016,6,17,0,2673518,0
78653,2016,7,6,0,975253,0
78653,2016,8,14,0,2226616,0
78653,2016,9,2,0,358105,0
78653,2016,10,9,0,1001675,0
78653,2016,11,12,1,1536801,20000
78653,2016,12,7,0,751192,0
78653,2017,1,3,1,288000,13500
78653,2017,3,7,0,1340930,0
78653,2017,4,15,0,2487960,0
78653,2017,5,21,0,3319839,0
78653,2017,6,9,0,1420580,0
78653,2017,7,4,0,822330,0
78653,2017,8,8,0,1362750,0
78653,2017,9,8,0,1432582,0
78653,2017,10,9,0,1577690,0
78653,2017,11,5,0,793954,0
78653,2017,12,4,0,627028,0
78653,2018,2,7,0,1101092,0
78653,2018,3,37,0,5917168,0
78653,2018,4,15,0,4270320,0
78653,2018,5,19,0,3072459,0
78660,1996,1,2,0,161892,0
78660,1996,2,2,0,141630,0
78660,1996,3,3,0,167069,0
78660,1996,4,5,0,339534,0
78660,1996,5,7,0,445204,0
78660,1996,6,4,0,249058,0
78660,1996,8,3,0,190211,0
78660,1996,9,2,0,121142,0
78660,1996,10,1,1,74212,2300
78660,1996,11,1,0,65480,0
78660,1996,12,2,0,138566,0
78660,1997,2,4,0,248970,0
78660,1997,3,4,0,243432,0
78660,1997,4,3,0,189556,0
