Median Rental Price,Zip Code,Year,Month
1093.5,78729,2016,9
1093.5,78729,2016,10
1102.5,78729,2016,11
1077.0,78729,2016,12
1145.0,78729,2017,1
1122.5,78729,2017,2
1292.5,78729,2017,3
1309.0,78729,2017,4
1477.5,78729,2017,5
1595.0,78729,2017,6
1585.0,78729,2017,7
1495.0,78729,2017,8
1425.0,78729,2017,9
1395.0,78729,2017,10
1377.0,78729,2017,11
1304.5,78729,2017,12
1350.0,78729,2018,1
1350.0,78729,2018,2
1295.0,78729,2018,3
1350.0,78729,2018,4
1410.0,78731,2013,7
1400.0,78731,2013,8
1350.0,78731,2013,9
1405.0,78731,2013,10
1455.0,78731,2013,11
1450.0,78731,2013,12
1400.0,78731,2014,1
1489.0,78731,2014,2
1588.0,78731,2014,3
1595.0,78731,2014,4
1489.0,78731,2014,5
1489.0,78731,2014,6
1495.0,78731,2014,7
1407.5,78731,2014,8
1450.0,78731,2014,9
1540.5,78731,2014,10
1455.0,78731,2014,11
1450.0,78731,2014,12
1520.5,78731,2015,1
1620.0,78731,2015,2
1588.0,78731,2015,3
1495.0,78731,2015,4
1415.0,78731,2015,5
1597.5,78731,2015,6
1600.5,78731,2015,7
1460.0,78731,2015,8
1610.0,78731,2015,9
1565.5,78731,2015,10
1450.0,78731,2015,11
1495.0,78731,2015,12
1477.5,78731,2016,1
1450.0,78731,2016,2
1450.0,78731,2016,3
1407.5,78731,2016,4
1450.0,78731,2016,5
1450.0,78731,2016,6
1400.0,78731,2016,7
1397.5,78731,2016,8
1300.0,78731,2016,9
1400.0,78731,2016,10
1350.0,78731,2016,11
1375.0,78731,2016,12
1467.5,78731,2017,1
1459.0,78731,2017,2
1549.0,78731,2017,3
1600.0,78731,2017,4
1600.0,78731,2017,5
1595.0,78731,2017,6
1600.0,78731,2017,7
1692.5,78731,2017,8
1695.0,78731,2017,9
1697.5,78731,2017,10
1625.0,78731,2017,11
1620.0,78731,2017,12
1620.0,78731,2018,1
1610.0,78731,2018,2
1635.0,78731,2018,3
1581.0,78731,2018,4
2750.0,78732,2017,3
2600.0,78732,2017,4
2600.0,78732,2017,5
2600.0,78732,2017,6
2647.5,78732,2017,7
2495.0,78732,2017,8
2500.0,78732,2017,9
2500.0,78732,2017,10
2595.0,78732,2017,11
2775.0,78732,2017,12
2600.0,78732,2018,1
2895.0,78732,2018,2
2737.5,78732,2018,3
2800.0,78732,2018,4
1922.5,78734,2011,6
1950.0,78734,2011,7
2000.0,78734,2011,8
2125.0,78734,2011,9
1995.0,78734,2011,10
2100.0,78734,2011,11
2150.0,78734,2011,12
1950.0,78734,2012,1
1900.0,78734,2012,2
2000.0,78734,2012,3
1975.0,78734,2012,4
1925.0,78734,2012,5
2150.0,78734,2012,6
2100.0,78734,2012,7
2172.5,78734,2012,8
2150.0,78734,2012,9
2000.0,78734,2012,10
1900.0,78734,2012,11
1849.0,78734,2012,12
1875.0,78734,2013,1
2025.0,78734,2013,2
2100.0,78734,2013,3
2100.0,78734,2013,4
2175.0,78734,2013,5
2100.0,78734,2013,6
2200.0,78734,2013,7
2200.0,78734,2013,8
2200.0,78734,2013,9
2200.0,78734,2013,10
2200.0,78734,2013,11
2347.5,78734,2013,12
2195.0,78734,2014,1
2195.0,78734,2014,2
2125.0,78734,2014,3
2195.0,78734,2014,4
2200.0,78734,2014,5
2200.0,78734,2014,6
2345.0,78734,2014,7
2300.0,78734,2014,8
2200.0,78734,2014,9
2100.0,78734,2014,10
2200.0,78734,2014,11
2350.0,78734,2014,12
2200.0,78734,2015,1
2195.0,78734,2015,2
2200.0,78734,2015,3
2200.0,78734,2015,4
2300.0,78734,2015,5
2400.0,78734,2015,6
2125.0,78734,2015,7
2349.0,78734,2015,8
2275.0,78734,2015,9
2200.0,78734,2015,10
2195.0,78734,2015,11
2225.0,78734,2015,12
2297.5,78734,2016,1
2350.0,78734,2016,2
2350.0,78734,2016,3
2300.0,78734,2016,4
2250.0,78734,2016,5
2125.0,78734,2016,6
2200.0,78734,2016,7
2300.0,78734,2016,8
2200.0,78734,2016,9
2197.5,78734,2016,10
2425.0,78734,2016,11
2150.0,78734,2016,12
2250.0,78734,2017,1
2212.5,78734,2017,2
2249.5,78734,2017,3
2250.0,78734,2017,4
2172.5,78734,2017,5
2200.0,78734,2017,6
2297.5,78734,2017,7
2212.5,78734,2017,8
2195.0,78734,2017,9
2150.0,78734,2017,10
2262.5,78734,2017,11
2250.0,78734,2017,12
2300.0,78734,2018,1
2350.0,78734,2018,2
2300.0,78734,2018,3
2300.0,78734,2018,4
850.0,78741,2012,12
709.0,78741,2013,1
749.5,78741,2013,2
750.0,78741,2013,3
809.0,78741,2013,4
825.0,78741,2013,5
859.0,78741,2013,6
925.0,78741,2013,7
920.0,78741,2013,8
859.0,78741,2013,9
862.5,78741,2013,10
859.5,78741,2013,11
829.0,78741,2013,12
797.5,78741,2014,1
844.0,78741,2014,2
862.5,78741,2014,3
895.0,78741,2014,4
859.5,78741,2014,5
859.0,78741,2014,6
859.0,78741,2014,7
860.0,78741,2014,8
860.0,78741,2014,9
819.0,78741,2014,10
859.0,78741,2014,11
844.0,78741,2014,12
829.0,78741,2015,1
822.0,78741,2015,2
809.5,78741,2015,3
795.0,78741,2015,4
829.0,78741,2015,5
860.0,78741,2015,6
875.0,78741,2015,7
879.0,78741,2015,8
895.0,78741,2015,9
900.0,78741,2015,10
867.0,78741,2015,11
865.0,78741,2015,12
860.0,78741,2016,1
869.0,78741,2016,2
860.0,78741,2016,3
789.0,78741,2016,4
800.0,78741,2016,5
860.0,78741,2016,6
859.0,78741,2016,7
819.0,78741,2016,8
795.0,78741,2016,9
819.0,78741,2016,10
859.5,78741,2016,11
809.5,78741,2016,12
895.0,78741,2017,1
950.0,78741,2017,2
994.0,78741,2017,3
1000.0,78741,2017,4
1025.0,78741,2017,5
1195.0,78741,2017,6
1195.0,78741,2017,7
1150.0,78741,2017,8
1000.0,78741,2017,9
1114.0,78741,2017,10
1100.0,78741,2017,11
965.0,78744,2013,1
959.5,78744,2013,2
860.0,78744,2013,3
950.0,78744,2013,4
885.0,78744,2013,5
974.0,78744,2013,6
925.0,78744,2013,7
929.0,78744,2013,8
991.0,78744,2013,9
1025.0,78744,2013,10
991.0,78744,2013,11
1040.0,78744,2013,12
1045.0,78744,2014,1
1050.0,78744,2014,2
1092.5,78744,2014,3
1100.0,78744,2014,4
991.0,78744,2014,5
991.0,78744,2014,6
1085.0,78744,2014,7
1142.0,78744,2014,8
1120.0,78744,2014,9
1005.0,78744,2014,10
1040.0,78744,2014,11
991.0,78744,2014,12
979.0,78744,2015,1
991.0,78744,2015,2
1015.5,78744,2015,3
1110.0,78744,2015,4
1129.5,78744,2015,5
1156.5,78744,2015,6
1115.0,78744,2015,7
1097.5,78744,2015,8
1092.5,78744,2015,9
1095.0,78744,2015,10
1085.0,78744,2015,11
1110.0,78744,2015,12
1110.0,78744,2016,1
1097.5,78744,2016,2
1110.0,78744,2016,3
991.0,78744,2016,4
1040.0,78744,2016,5
1110.0,78744,2016,6
1090.0,78744,2016,7
1110.0,78744,2016,8
993.0,78744,2016,9
1110.0,78744,2016,10
1115.0,78744,2016,11
1115.0,78744,2016,12
1199.0,78744,2017,1
1200.0,78744,2017,2
1199.5,78744,2017,3
1237.5,78744,2017,4
1325.0,78744,2017,5
1310.0,78744,2017,6
1325.0,78744,2017,7
1247.5,78744,2017,8
1350.0,78744,2017,9
1337.5,78744,2017,10
1325.0,78744,2017,11
1364.5,78744,2017,12
1351.0,78744,2018,1
1395.0,78744,2018,2
1395.0,78744,2018,3
1395.0,78744,2018,4
950.0,78745,2013,2
1000.0,78745,2013,3
1075.0,78745,2013,4
1090.0,78745,2013,5
1102.0,78745,2013,6
1028.0,78745,2013,7
1100.0,78745,2013,8
1194.0,78745,2013,9
1159.5,78745,2013,10
1250.0,78745,2013,11
1184.0,78745,2013,12
1150.0,78745,2014,1
1195.0,78745,2014,2
1265.0,78745,2014,3
1300.0,78745,2014,4
1188.5,78745,2014,5
1152.5,78745,2014,6
1197.5,78745,2014,7
1193.0,78745,2014,8
1188.5,78745,2014,9
1152.5,78745,2014,10
1150.0,78745,2014,11
1090.0,78745,2014,12
1090.0,78745,2015,1
1135.0,78745,2015,2
1090.0,78745,2015,3
1150.0,78745,2015,4
1222.5,78745,2015,5
1240.0,78745,2015,6
1295.0,78745,2015,7
1250.0,78745,2015,8
