Median Listing Price,Zip Code,Year,Month
303000.0,78723,2014,7
339750.0,78723,2014,8
299900.0,78723,2014,9
300000.0,78723,2014,10
299900.0,78723,2014,11
319000.0,78723,2014,12
320000.0,78723,2015,1
349000.0,78723,2015,2
355000.0,78723,2015,3
348000.0,78723,2015,4
349900.0,78723,2015,5
324000.0,78723,2015,6
300000.0,78723,2015,7
325000.0,78723,2015,8
329000.0,78723,2015,9
365000.0,78723,2015,10
349000.0,78723,2015,11
349900.0,78723,2015,12
339900.0,78723,2016,1
349900.0,78723,2016,2
349000.0,78723,2016,3
328600.0,78723,2016,4
359000.0,78723,2016,5
363990.0,78723,2016,6
364950.0,78723,2016,7
359950.0,78723,2016,8
364999.0,78723,2016,9
370000.0,78723,2016,10
365000.0,78723,2016,11
375000.0,78723,2016,12
371990.0,78723,2017,1
375000.0,78723,2017,2
389000.0,78723,2017,3
390003.0,78723,2017,4
397520.5,78723,2017,5
395000.0,78723,2017,6
399000.0,78723,2017,7
393105.5,78723,2017,8
395990.0,78723,2017,9
389142.0,78723,2017,10
389571.0,78723,2017,11
392450.0,78723,2017,12
397900.0,78723,2018,1
429000.0,78723,2018,2
430945.0,78723,2018,3
423950.0,78723,2018,4
227450.0,78724,2016,5
219999.5,78724,2016,6
219999.5,78724,2016,7
236500.0,78724,2016,8
244450.0,78724,2016,9
239450.0,78724,2016,10
213000.0,78724,2016,11
229400.0,78724,2016,12
217990.0,78724,2017,1
221990.0,78724,2017,2
220000.0,78724,2017,3
232997.5,78724,2017,4
247242.5,78724,2017,5
243000.0,78724,2017,6
234900.0,78724,2017,7
239400.0,78724,2017,8
247450.0,78724,2017,9
220000.0,78724,2017,10
219900.0,78724,2017,11
222495.0,78724,2017,12
221990.0,78724,2018,1
222990.0,78724,2018,2
224000.0,78724,2018,3
224990.0,78724,2018,4
153500.0,78725,2015,1
149500.0,78725,2015,2
137000.0,78725,2015,3
146500.0,78725,2015,4
160000.0,78725,2015,5
149999.0,78725,2015,6
156900.0,78725,2015,7
169900.0,78725,2015,8
176492.5,78725,2015,9
181490.0,78725,2015,10
179245.0,78725,2015,11
178245.0,78725,2015,12
180990.0,78725,2016,1
179495.0,78725,2016,2
175000.0,78725,2016,3
179120.0,78725,2016,4
179512.5,78725,2016,5
187510.0,78725,2016,6
186344.0,78725,2016,7
193990.0,78725,2016,8
197900.0,78725,2016,9
197185.0,78725,2016,10
190995.0,78725,2016,11
188495.0,78725,2016,12
196990.0,78725,2017,1
185995.0,78725,2017,2
190000.0,78725,2017,3
189900.0,78725,2017,4
185050.0,78725,2017,5
185000.0,78725,2017,6
200990.0,78725,2017,7
210000.0,78725,2017,8
214900.0,78725,2017,9
208995.0,78725,2017,10
