Median Listing Price Per sqf,Zip Code,Year,Month
269.04761904762,78704,2013,7
269.04761904762,78704,2013,8
264.38617698317,78704,2013,9
264.2872168941,78704,2013,10
273.03182579564,78704,2013,11
276.6952259779,78704,2013,12
267.56926952141,78704,2014,1
276.39561707036,78704,2014,2
293.53454429594,78704,2014,3
298.85730997597,78704,2014,4
289.67966221683,78704,2014,5
294.40500050474,78704,2014,6
286.01694915254,78704,2014,7
289.08661854525,78704,2014,8
290.0,78704,2014,9
290.0,78704,2014,10
291.54760745094,78704,2014,11
294.68188459525,78704,2014,12
295.16111898017,78704,2015,1
298.5401459854,78704,2015,2
304.68880645026,78704,2015,3
318.49420095907,78704,2015,4
316.70930791193,78704,2015,5
330.68783068783,78704,2015,6
314.54106056395,78704,2015,7
316.56848306333,78704,2015,8
325.56002250093,78704,2015,9
331.87056552404,78704,2015,10
328.72928176796,78704,2015,11
338.17594834544,78704,2015,12
334.12876302981,78704,2016,1
349.58041958042,78704,2016,2
346.4656964657,78704,2016,3
345.26159921027,78704,2016,4
347.22222222222,78704,2016,5
350.36518911454,78704,2016,6
354.1417198346,78704,2016,7
347.90480850359,78704,2016,8
351.51876456499,78704,2016,9
357.54475703325,78704,2016,10
355.39215686275,78704,2016,11
362.66531508106,78704,2016,12
363.76155044316,78704,2017,1
364.11119955478,78704,2017,2
374.51075494554,78704,2017,3
375.37221547892,78704,2017,4
371.26185266229,78704,2017,5
364.76868327402,78704,2017,6
366.01517655079,78704,2017,7
367.32957431677,78704,2017,8
376.8216080402,78704,2017,9
387.33407079646,78704,2017,10
383.54912437624,78704,2017,11
373.78954163977,78704,2017,12
377.28416518122,78704,2018,1
385.8122238041,78704,2018,2
393.32723830273,78704,2018,3
389.67611336032,78704,2018,4
290.31042260209,78705,2014,12
271.58144790718,78705,2015,1
278.7610619469,78705,2015,2
279.13956711803,78705,2015,3
280.0,78705,2015,4
280.20942408377,78705,2015,5
265.67164179104,78705,2015,6
272.43279569893,78705,2015,7
269.93443316413,78705,2015,8
283.16616704533,78705,2015,9
283.14251520048,78705,2015,10
277.91878172589,78705,2015,11
281.18889323426,78705,2015,12
282.82876064333,78705,2016,1
301.50829562594,78705,2016,2
302.59267698963,78705,2016,3
308.56481481482,78705,2016,4
306.12093658407,78705,2016,5
314.31334622824,78705,2016,6
324.67532467532,78705,2016,7
326.65417402836,78705,2016,8
339.54837582016,78705,2016,9
334.75882688468,78705,2016,10
340.27777777778,78705,2016,11
337.58010815804,78705,2016,12
336.53846153846,78705,2017,1
341.28014963637,78705,2017,2
338.35740072202,78705,2017,3
337.28733997155,78705,2017,4
333.84476534296,78705,2017,5
335.89419424851,78705,2017,6
338.5770173454,78705,2017,7
338.61236802413,78705,2017,8
346.70231729055,78705,2017,9
345.85226567028,78705,2017,10
344.3487621098,78705,2017,11
348.43312937063,78705,2017,12
342.96298356886,78705,2018,1
338.00986919218,78705,2018,2
338.0,78705,2018,3
345.36363636364,78705,2018,4
100.51667449507,78717,2010,1
103.0661896357,78717,2010,2
103.69702434626,78717,2010,3
104.53434699973,78717,2010,4
104.53434699973,78717,2010,5
102.82295548996,78717,2010,6
101.05757931845,78717,2010,7
99.83498349835,78717,2010,8
101.0548529787,78717,2010,9
102.8175313059,78717,2010,10
103.86819484241,78717,2010,11
102.41082666983,78717,2010,12
102.41082666983,78717,2011,1
102.29346853564,78717,2011,2
101.98550724638,78717,2011,3
101.10109342168,78717,2011,4
100.24650780608,78717,2011,5
101.47945288158,78717,2011,6
101.26635711271,78717,2011,7
99.82124614368,78717,2011,8
98.3726383872,78717,2011,9
99.579547166968,78717,2011,10
100.390625,78717,2011,11
101.37981509908,78717,2011,12
103.08544303797,78717,2012,1
105.45886075949,78717,2012,2
103.8961038961,78717,2012,3
105.40508071132,78717,2012,4
106.95497102095,78717,2012,5
106.54885654886,78717,2012,6
106.36778115501,78717,2012,7
109.40828402367,78717,2012,8
109.03523740544,78717,2012,9
110.34482758621,78717,2012,10
112.68165934366,78717,2012,11
115.24358302776,78717,2012,12
116.83472161333,78717,2013,1
118.39865863169,78717,2013,2
119.38360386512,78717,2013,3
121.16136236739,78717,2013,4
120.65517241379,78717,2013,5
123.13591819344,78717,2013,6
124.40758293839,78717,2013,7
125.29832935561,78717,2013,8
126.07277458496,78717,2013,9
128.23159948728,78717,2013,10
131.15755516756,78717,2013,11
134.37631720851,78717,2013,12
134.81671910755,78717,2014,1
136.64596273292,78717,2014,2
136.79372604731,78717,2014,3
135.39878353853,78717,2014,4
137.18622300058,78717,2014,5
135.90844062947,78717,2014,6
136.56387665198,78717,2014,7
137.78980249676,78717,2014,8
137.78980249676,78717,2014,9
139.89630123695,78717,2014,10
141.15653389238,78717,2014,11
141.40265462956,78717,2014,12
141.46180446401,78717,2015,1
144.26955219647,78717,2015,2
140.9759161046,78717,2015,3
138.76967555413,78717,2015,4
138.73941105626,78717,2015,5
140.90009891197,78717,2015,6
142.11761668737,78717,2015,7
142.49033435418,78717,2015,8
145.70168711656,78717,2015,9
144.5513803681,78717,2015,10
149.06341873163,78717,2015,11
150.03097040606,78717,2015,12
151.00974847278,78717,2016,1
143.61081137296,78717,2016,2
149.0,78717,2016,3
149.61558784676,78717,2016,4
147.54118301961,78717,2016,5
148.57651245552,78717,2016,6
145.11278538813,78717,2016,7
144.0625,78717,2016,8
141.77874170422,78717,2016,9
149.40806403641,78717,2016,10
151.64918220963,78717,2016,11
151.90476190476,78717,2016,12
151.19549929677,78717,2017,1
151.86915887851,78717,2017,2
158.67518493611,78717,2017,3
159.02547707447,78717,2017,4
157.89631405454,78717,2017,5
157.83929884304,78717,2017,6
157.58376457782,78717,2017,7
156.19391600861,78717,2017,8
157.58368200837,78717,2017,9
162.30626826892,78717,2017,10
163.50615740426,78717,2017,11
163.97231908813,78717,2017,12
169.2905567289,78717,2018,1
164.91885568567,78717,2018,2
159.60753452669,78717,2018,3
157.40694457947,78717,2018,4
186.92307692308,78721,2014,11
195.75064753935,78721,2014,12
192.34533771668,78721,2015,1
197.91666666667,78721,2015,2
199.84668109668,78721,2015,3
209.53649543445,78721,2015,4
210.62932851551,78721,2015,5
208.56507230256,78721,2015,6
215.21990740741,78721,2015,7
215.27777777778,78721,2015,8
214.78630286054,78721,2015,9
215.1099537037,78721,2015,10
214.64465183058,78721,2015,11
215.7308224478,78721,2015,12
225.34920634921,78721,2016,1
226.50778647943,78721,2016,2
227.66957689725,78721,2016,3
236.30340310932,78721,2016,4
242.3,78721,2016,5
246.09829955742,78721,2016,6
247.42268041237,78721,2016,7
248.96252371193,78721,2016,8
245.05404587711,78721,2016,9
240.45801526718,78721,2016,10
251.02677720602,78721,2016,11
246.77215189873,78721,2016,12
248.17808926052,78721,2017,1
252.93737060041,78721,2017,2
254.60332209754,78721,2017,3
253.09150865622,78721,2017,4
265.3566022822,78721,2017,5
263.46018735363,78721,2017,6
265.27672479151,78721,2017,7
267.50764525994,78721,2017,8
270.95596951736,78721,2017,9
265.61014263074,78721,2017,10
266.27486437613,78721,2017,11
269.70078414786,78721,2017,12
280.27501462844,78721,2018,1
279.35606060606,78721,2018,2
297.43373588457,78721,2018,3
294.47659465021,78721,2018,4
134.51178451178,78723,2010,1
132.48050622907,78723,2010,2
126.80237489398,78723,2010,3
126.59831121833,78723,2010,4
126.5903307888,78723,2010,5
127.00564009388,78723,2010,6
122.54289215686,78723,2010,7
120.31804027205,78723,2010,8
118.78734641907,78723,2010,9
120.27700491851,78723,2010,10
123.92387104564,78723,2010,11
122.03519510329,78723,2010,12
119.33066933067,78723,2011,1
119.33066933067,78723,2011,2
120.25089012919,78723,2011,3
121.47671488638,78723,2011,4
121.12283464254,78723,2011,5
121.42304717711,78723,2011,6
122.17834128532,78723,2011,7
121.42304717711,78723,2011,8
120.29452432379,78723,2011,9
118.49684234784,78723,2011,10
115.74074074074,78723,2011,11
115.48536209553,78723,2011,12
119.16961130742,78723,2012,1
119.92727272727,78723,2012,2
113.77162351716,78723,2012,3
123.60289283366,78723,2012,4
125.87657784011,78723,2012,5
123.44872632266,78723,2012,6
125.87657784011,78723,2012,7
132.79325988334,78723,2012,8
128.85802469136,78723,2012,9
131.60287569258,78723,2012,10
147.55011135858,78723,2012,11
134.75575519371,78723,2012,12
126.8064402986,78723,2013,1
135.17550410754,78723,2013,2
134.45922116091,78723,2013,3
138.19905109168,78723,2013,4
143.66726675845,78723,2013,5
156.48769574944,78723,2013,6
152.02716870357,78723,2013,7
155.40434170188,78723,2013,8
165.40306548734,78723,2013,9
158.87025595764,78723,2013,10
161.18805970149,78723,2013,11
158.82768361582,78723,2013,12
157.34035549704,78723,2014,1
167.95716507282,78723,2014,2
