Median Price of Reduction,Zip Code,Year,Month
3.6895238346271,78727,2017,3
5.8412201224711,78727,2017,4
2.8794206357098,78727,2017,5
1.8875047187618,78727,2017,6
2.9273703654333,78727,2017,7
2.8055555555556,78727,2017,8
1.5289611993564,78727,2017,9
1.5151515151515,78727,2017,10
2.2873155282626,78727,2017,11
2.8449477313109,78727,2017,12
2.4390422368944,78727,2018,1
2.597149602986,78727,2018,2
2.3310023310023,78727,2018,3
2.3529411764706,78727,2018,4
3.7037037037037,78731,2010,9
3.7334319561924,78731,2010,10
2.9799914857386,78731,2010,11
3.2258584815884,78731,2010,12
3.5089912280702,78731,2011,1
3.0783445023404,78731,2011,2
3.5162632141375,78731,2011,3
2.39865969271,78731,2011,4
2.5316455696203,78731,2011,5
2.0968119206446,78731,2011,6
3.3204427256968,78731,2011,7
2.2096418476066,78731,2011,8
2.568458938322,78731,2011,9
2.8029569789379,78731,2011,10
3.6684593239808,78731,2011,11
2.1276595744681,78731,2011,12
2.5062656641604,78731,2012,1
2.8571428571429,78731,2012,2
3.0090497737557,78731,2012,3
3.1067961165048,78731,2012,4
3.0307622367025,78731,2012,5
3.3127572016461,78731,2012,6
3.1268246382727,78731,2012,7
4.0781974250966,78731,2012,8
3.2839201838835,78731,2012,9
2.4487804878049,78731,2012,10
3.1515151515152,78731,2012,11
4.1474023516151,78731,2012,12
3.6196911196911,78731,2013,1
3.2903225806452,78731,2013,2
3.9024153905211,78731,2013,3
2.6666666666667,78731,2013,4
4.0562678062678,78731,2013,5
3.8022813688213,78731,2013,6
3.8535645472062,78731,2013,7
3.1314152648834,78731,2013,8
3.340761381096,78731,2013,9
2.6104417670683,78731,2013,10
2.6702269692924,78731,2013,11
2.7547334740731,78731,2013,12
4.7779043280182,78731,2014,1
3.030303030303,78731,2014,2
1.5189873417722,78731,2014,3
2.8913628873438,78731,2014,4
5.1115577889447,78731,2014,5
4.0832666132906,78731,2014,6
3.0816640986132,78731,2014,7
3.713405238829,78731,2014,8
3.3163265306122,78731,2014,9
2.8629856850716,78731,2014,10
3.4620689655172,78731,2014,11
1.7375991593789,78731,2014,12
3.7383177570094,78731,2015,1
2.2272555681389,78731,2015,2
2.0041884047322,78731,2015,3
2.1643006809439,78731,2015,4
2.3809523809524,78731,2015,5
3.3939393939394,78731,2015,6
2.9126213592233,78731,2015,7
3.0769230769231,78731,2015,8
2.016210739615,78731,2015,9
2.2837914557411,78731,2015,10
2.3350617970871,78731,2015,11
1.3698630136986,78731,2015,12
3.6036036036036,78731,2016,1
2.4163568773234,78731,2016,2
2.7272727272727,78731,2016,3
2.9162617815888,78731,2016,4
3.030303030303,78731,2016,5
3.5369774919614,78731,2016,6
2.9411764705882,78731,2016,7
2.9482802697255,78731,2016,8
2.549073915959,78731,2016,9
2.0916461713185,78731,2016,10
2.9166666666667,78731,2016,11
0.82054970975459,78731,2016,12
2.0973295984753,78731,2017,1
2.0030816640986,78731,2017,2
2.6666666666667,78731,2017,3
