Median Price Cut,Zip Code,Year,Month
10000.0,78737,2014,4
7550.0,78737,2014,5
10000.0,78737,2014,6
10000.0,78737,2014,7
10000.0,78737,2014,8
9550.0,78737,2014,9
10000.0,78737,2014,10
10999.0,78737,2014,11
8445.5,78737,2014,12
12500.0,78737,2015,1
15319.5,78737,2015,2
12000.0,78737,2015,3
14600.0,78737,2015,4
8050.0,78737,2015,5
7975.0,78737,2015,6
14750.0,78737,2015,7
10000.0,78737,2015,8
7123.0,78737,2015,9
10000.0,78737,2015,10
10000.0,78737,2015,11
3499.5,78737,2015,12
9233.0,78737,2016,1
10000.0,78737,2016,2
10000.0,78737,2016,3
10256.5,78737,2016,4
9995.0,78737,2016,5
9306.0,78737,2016,6
9250.0,78737,2016,7
9050.0,78737,2016,8
9949.5,78737,2016,9
10000.0,78737,2016,10
10000.0,78737,2016,11
10251.0,78737,2016,12
4500.0,78737,2017,1
8550.0,78737,2017,2
10000.0,78737,2017,3
10000.0,78737,2017,4
10000.0,78737,2017,5
10000.0,78737,2017,6
9750.0,78737,2017,7
11034.5,78737,2017,8
5001.0,78737,2017,9
9479.0,78737,2017,10
9250.0,78737,2017,11
8999.0,78737,2017,12
10000.0,78737,2018,1
9500.0,78737,2018,2
10000.0,78737,2018,3
15525.0,78737,2018,4
18500.0,78738,2010,9
20000.0,78738,2010,10
12292.0,78738,2010,11
27500.0,78738,2010,12
14550.0,78738,2011,1
24900.0,78738,2011,2
16000.0,78738,2011,3
10000.0,78738,2011,4
15000.0,78738,2011,5
18000.0,78738,2011,6
15100.0,78738,2011,7
15000.0,78738,2011,8
15000.0,78738,2011,9
18000.0,78738,2011,10
7500.0,78738,2011,11
15000.0,78738,2011,12
13500.0,78738,2012,1
10000.0,78738,2012,2
11600.0,78738,2012,3
10600.0,78738,2012,4
14000.0,78738,2012,5
10000.0,78738,2012,6
15000.0,78738,2012,7
15000.0,78738,2012,8
15000.0,78738,2012,9
16000.0,78738,2012,10
11053.0,78738,2012,11
5000.0,78738,2012,12
10000.0,78738,2013,1
10000.0,78738,2013,2
10050.0,78738,2013,3
10950.0,78738,2013,4
11050.0,78738,2013,5
14000.0,78738,2013,6
12750.0,78738,2013,7
10000.0,78738,2013,8
10000.0,78738,2013,9
10000.0,78738,2013,10
7500.0,78738,2013,11
14950.0,78738,2013,12
10000.0,78738,2014,1
5000.0,78738,2014,2
10000.0,78738,2014,3
10000.0,78738,2014,4
14000.0,78738,2014,5
10100.0,78738,2014,6
12900.0,78738,2014,7
11999.0,78738,2014,8
13500.0,78738,2014,9
10000.0,78738,2014,10
10000.0,78738,2014,11
10000.0,78738,2014,12
8000.0,78738,2015,1
15000.0,78738,2015,2
10428.5,78738,2015,3
13430.0,78738,2015,4
15000.0,78738,2015,5
15002.5,78738,2015,6
10000.0,78738,2015,7
